LAMBDA,FLUX,FERROR,MASKGOOD
8618.45,-4.348772186714109e-19,2.9015404562839084e-18,False
8642.53,-7.471395412222136e-18,2.222990694194499e-18,True
8642.834,-4.4574883334120116e-18,2.630994108301488e-18,True
8642.836,1.4683702487660196e-18,3.617721659514663e-18,False
8643.48,-9.719983052441932e-18,2.859246120583624e-18,True
8666.95,-6.656461653998496e-18,2.2241651374766067e-18,True
8667.283000000001,4.5263599139321486e-18,2.5470802258334524e-18,False
8667.286,-3.84832281116678e-18,3.4190114055403317e-18,True
8667.594000000001,-8.021394685330664e-18,2.8443015378581417e-18,True
8691.247,1.1242076659155196e-17,2.5403174050990985e-18,False
8691.449,-1.623650315845525e-18,2.1981343543590702e-18,False
8691.737,-6.4239030785645675e-18,3.2703299584399936e-18,True
8692.046999999999,-5.2292013695261055e-18,2.8038610548370213e-18,True
8715.872,-2.6814430521024798e-18,2.153548841043857e-18,True
8715.975,-5.436792557464386e-18,3.2554215138927772e-18,True
8716.5,-3.1850555558407316e-18,2.714558650539774e-18,True
8716.646999999999,9.768835672446216e-18,2.4888287975866047e-18,False
8740.319,-2.8439087269219916e-18,2.099332889916674e-18,True
8740.632,6.942552645108403e-19,2.264374843319969e-18,False
8740.953000000001,-7.74176917439872e-19,2.7066376628584342e-18,False
8741.065,-8.331104225073792e-18,3.0039780033031235e-18,False
8764.767,1.5459880942542318e-17,2.167073802172369e-18,False
8765.081,1.9498945995580915e-18,2.1330535425999697e-18,False
8765.09,-7.183616492886144e-19,2.9453027930001588e-18,False
8765.405999999999,-8.995485478129369e-18,2.756661224807767e-18,False
8787.971,2.6009444287814308e-17,2.291013408751664e-18,False
8789.53,2.075274524308389e-18,2.0964680664949918e-18,False
8789.541,-5.050974814113833e-18,2.7922661941115773e-18,True
8789.858,-5.010133081336291e-18,2.6485480451845874e-18,False
8813.98,-2.681852123781297e-18,2.043759923659698e-18,True
8813.991,-8.956308939181884e-19,2.6919231517266e-18,False
8814.312,-3.7836101685172895e-18,2.5817339426892528e-18,True
8814.833,2.0699670898745775e-17,2.2036385359045273e-18,False
8838.108,1.3323994829439914e-17,2.1050501190387838e-18,False
8838.43,-1.695403509738368e-18,1.98221190687098e-18,False
8838.438,5.823215445959306e-18,2.7956554180836407e-18,True
8838.765,-6.198123649858436e-18,2.5834049394136555e-18,True
8861.654,4.1605469318787145e-19,1.9082001116382267e-18,False
8862.556,-2.6423940457687997e-18,1.937593401086946e-18,True
8862.9,-4.407727835892759e-18,2.579957299984077e-18,True
8863.218,-5.472996118600936e-18,2.5572813434211887e-18,True
8887.003,-5.563960940767676e-18,1.9292454683228388e-18,True
8887.344000000001,-9.060734113389546e-18,2.450596571043848e-18,True
8887.671,-4.6121073551501014e-18,2.5275915101982527e-18,True
8888.461,-6.329671044028996e-19,1.8509280962523916e-18,False
8911.45,-5.853524536937792e-18,1.966258455609055e-18,True
8911.778,-2.3769123562599617e-18,1.8370347682836702e-18,True
8911.795,-2.3693075235095025e-18,2.4041332577329563e-18,False
8912.05,3.179972924977089e-19,2.4909149555870416e-18,False
8935.896999999999,-5.1439892807873745e-18,1.9518174945459422e-18,True
